Depth	Speed	Tip	Friction	Pressure	SBT
83.99	2.29	0.40557	0.25292	0.043	5
84.055	2	0.40465	0.25512	0.04439	5
84.121	2	0.40448	0.25696	0.04583	5
84.186	2.29	0.40561	0.25687	0.04742	5
84.252	2	0.40589	0.25755	0.05023	5
84.318	2	0.40612	0.25746	0.05015	5
84.383	2	0.40539	0.25712	0.05136	5
84.449	2.29	0.40442	0.25899	0.05359	5
84.514	0.2	0.40377	0.26051	0.05609	5
84.58	2.29	0.40415	0.26194	0.05759	5
84.646	2	0.405	0.26196	0.06078	5
84.711	2	0.40608	0.26356	0.06293	5
84.777	2	0.40674	0.2658	0.06309	5
84.843	2	0.40743	0.26726	0.07581	5
84.908	2	0.40763	0.26697	0.07779	5
84.974	2.29	0.40778	0.26567	0.08211	5
85.039	2	0.40755	0.26586	0.08527	5
85.105	2	0.40721	0.26545	0.08614	5
85.171	2	0.40677	0.26499	0.08803	5
85.236	2.29	0.40677	0.26446	0.09242	5
85.302	2	0.40668	0.26282	0.09197	5
85.367	2	0.40589	0.26302	0.09432	5
85.433	2	0.4049	0.2623	0.09526	5
85.499	2	0.40384	0.25926	0.09699	5
85.564	2	0.40303	0.25665	0.09847	5
85.63	2.29	0.40228	0.25497	0.1003	5
85.696	2	0.40154	0.25423	0.10094	5
85.761	2	0.40177	0.25484	0.10374	5
85.827	2	0.40207	0.25375	0.10681	5
85.892	2.29	0.40236	0.25306	0.11077	5
85.958	2	0.40258	0.25437	0.11145	5
86.024	2	0.40277	0.2545	0.11288	5
86.089	2	0.40341	0.25373	0.11599	5
86.155	2.29	0.40365	0.2523	0.12373	5
86.22	2	0.40417	0.25255	0.12842	5
86.286	2	0.40461	0.25353	0.13352	5
86.352	2	0.4046	0.25394	0.1322	5
86.417	2.29	0.40503	0.25349	0.13645	5
86.483	2	0.40501	0.25486	0.13981	5
86.549	2	0.40495	0.25602	0.13937	5
86.614	2	0.40456	0.25681	0.14366	5
86.68	2.29	0.40447	0.25675	0.14991	5
86.745	2	0.40446	0.25758	0.15398	5
86.811	2	0.40431	0.25701	0.15769	5
86.877	2	0.40447	0.25572	0.16281	5
86.942	2	0.40409	0.25474	0.16569	5
87.008	2	0.40383	0.25365	0.16952	1
87.073	2	0.40388	0.25209	0.17424	1
87.139	2.29	0.40405	0.25135	0.1782	1
87.205	2	0.40396	0.25055	0.18282	1
87.27	2	0.40426	0.24967	0.18843	1
87.336	2	0.40364	0.24928	0.19353	1
87.402	2	0.40369	0.24893	0.19502	1
87.467	2.29	0.40386	0.24875	0.20001	1
87.533	2	0.40374	0.24919	0.20477	1
87.598	2	0.40356	0.2492	0.20993	1
